colocação,jogador,escalações,rodada,ano
1.0,Gabriel (FLA),3327349.0,1,2020
2.0,Pedro Geromel (GRE),3127228.0,1,2020
3.0,Everton Ribeiro (FLA),2840557.0,1,2020
4.0,Vanderlei (GRE),1969166.0,1,2020
5.0,Marinho (SAN),1850604.0,1,2020
6.0,Thiago Galhardo (INT),1422202.0,1,2020
7.0,Soteldo (SAN),1308558.0,1,2020
8.0,Víctor Cuesta (INT),1304007.0,1,2020
9.0,Diego Souza (GRE),1273009.0,1,2020
10.0,Alisson (GRE),1247015.0,1,2020
11.0,Gerson (FLA),1161325.0,1,2020
12.0,Filipe Luís (FLA),957446.0,1,2020
13.0,Daniel Paulista (SPO),878319.0,1,2020
14.0,Léo Pereira (FLA),818484.0,1,2020
15.0,Rafinha (FLA),757727.0,1,2020
16.0,Bruno Henrique (FLA),707134.0,1,2020
17.0,Bruno Cortez (GRE),617198.0,1,2020
18.0,Paolo Guerrero (INT),616544.0,1,2020
19.0,Daniel Alves (SAO),597080.0,1,2020
20.0,Domènec Torrent (FLA),588360.0,1,2020
1.0,Gabriel (FLA),3269338.0,2,2020
2.0,Everton Ribeiro (FLA),2696485.0,2,2020
3.0,Rodrigo Caio (FLA),1704973.0,2,2020
4.0,Bruno Henrique (FLA),1344399.0,2,2020
5.0,Filipe Luís (FLA),1237605.0,2,2020
6.0,Domènec Torrent (FLA),1087414.0,2,2020
7.0,Thiago Galhardo (INT),1081448.0,2,2020
8.0,Aguilar (CAP),994423.0,2,2020
9.0,Víctor Cuesta (INT),986976.0,2,2020
10.0,Felipe Conceição (BGT),974846.0,2,2020
11.0,Pablo (SAO),946191.0,2,2020
12.0,Rafinha (FLA),937338.0,2,2020
13.0,Patrick de Paula (PAL),816626.0,2,2020
14.0,Gerson (FLA),808470.0,2,2020
15.0,Léo Cittadini (CAP),768257.0,2,2020
16.0,Cano (VAS),731130.0,2,2020
17.0,Santos (CAP),710984.0,2,2020
18.0,Daniel Alves (SAO),669146.0,2,2020
19.0,Aderlan (BGT),648883.0,2,2020
20.0,Saravia (INT),641373.0,2,2020
1.0,Gabriel (FLA),2320289.0,3,2020
2.0,Luiz Adriano (PAL),1889354.0,3,2020
3.0,Marcos Rocha (PAL),1868825.0,3,2020
4.0,Pedro Geromel (GRE),1740932.0,3,2020
5.0,Everton Ribeiro (FLA),1436246.0,3,2020
6.0,Carlos Sánchez (SAN),1397568.0,3,2020
7.0,Réver (ATL),1376046.0,3,2020
8.0,Viña (PAL),1308749.0,3,2020
9.0,Marrony (ATL),1222261.0,3,2020
10.0,Zé Rafael (PAL),1213619.0,3,2020
11.0,Filipe Luís (FLA),1135879.0,3,2020
12.0,Rogério Ceni (FOR),1007995.0,3,2020
13.0,Rafael (ATL),987993.0,3,2020
14.0,Bruno Henrique (FLA),970710.0,3,2020
15.0,Rodrigo Caio (FLA),920932.0,3,2020
16.0,Patrick de Paula (PAL),874299.0,3,2020
17.0,Marinho (SAN),861718.0,3,2020
18.0,Thiago Galhardo (INT),815006.0,3,2020
19.0,Vanderlei Luxemburgo (PAL),726338.0,3,2020
20.0,Domènec Torrent (FLA),623991.0,3,2020
1.0,Jô (COR),2927180.0,4,2020
2.0,Víctor Cuesta (INT),2328033.0,4,2020
3.0,Thiago Galhardo (INT),2306599.0,4,2020
4.0,Gil (COR),2044359.0,4,2020
5.0,Gabriel (FLA),1894907.0,4,2020
6.0,Luan (COR),1300668.0,4,2020
7.0,Sidcley (COR),1208456.0,4,2020
8.0,Daniel Alves (SAO),1117301.0,4,2020
9.0,Filipe Luís (FLA),1101924.0,4,2020
10.0,Everton Ribeiro (FLA),1091642.0,4,2020
11.0,Bruno Henrique (FLA),956214.0,4,2020
12.0,Marrony (ATL),950363.0,4,2020
13.0,Carlos Sánchez (SAN),897488.0,4,2020
14.0,Danilo Avelar (COR),864500.0,4,2020
15.0,Cássio (COR),826522.0,4,2020
16.0,Ney Franco (GOI),822382.0,4,2020
17.0,Hyoran (ATL),780442.0,4,2020
18.0,Soteldo (SAN),776241.0,4,2020
19.0,Marinho (SAN),695929.0,4,2020
20.0,Pablo (SAO),690908.0,4,2020
1.0,Jô (COR),2283512.0,5,2020
2.0,Gabriel (FLA),1998763.0,5,2020
3.0,Arrascaeta (FLA),1561756.0,5,2020
4.0,Gil (COR),1415389.0,5,2020
5.0,Bruno Henrique (FLA),1382062.0,5,2020
6.0,Filipe Luís (FLA),1339727.0,5,2020
7.0,Everton Ribeiro (FLA),1275299.0,5,2020
8.0,Araos (COR),1202306.0,5,2020
9.0,Léo Ortiz (BGT),1196431.0,5,2020
10.0,Thiago Galhardo (INT),1138799.0,5,2020
11.0,Felipe Conceição (BGT),1048088.0,5,2020
12.0,Cássio (COR),1020138.0,5,2020
13.0,Danilo Avelar (COR),998210.0,5,2020
14.0,Rodrigo Caio (FLA),913661.0,5,2020
15.0,Aderlan (BGT),913419.0,5,2020
16.0,Cano (VAS),904699.0,5,2020
17.0,Sidcley (COR),889891.0,5,2020
18.0,Fagner (COR),844314.0,5,2020
19.0,Alerrandro (BGT),767288.0,5,2020
20.0,Rafael Vaz (GOI),677966.0,5,2020
1.0,Thiago Galhardo (INT),2395099.0,6,2020
2.0,Cano (VAS),2105929.0,6,2020
3.0,Víctor Cuesta (INT),1979460.0,6,2020
4.0,Nenê (FLU),1599672.0,6,2020
5.0,Bruno Henrique (FLA),1403963.0,6,2020
6.0,Luiz Adriano (PAL),1085627.0,6,2020
7.0,Viña (PAL),1018642.0,6,2020
8.0,Jorginho (CFC),1008039.0,6,2020
9.0,Jô (COR),1005469.0,6,2020
10.0,Matheus Galdezani (CFC),968663.0,6,2020
11.0,Rogério Ceni (FOR),941710.0,6,2020
12.0,Luan (PAL),909410.0,6,2020
13.0,Wellington Paulista (FOR),889896.0,6,2020
14.0,Wilson (CFC),784655.0,6,2020
15.0,Patrick de Paula (PAL),767240.0,6,2020
16.0,Saravia (INT),739195.0,6,2020
17.0,Gustavo Gómez (PAL),736146.0,6,2020
18.0,Filipe Luís (FLA),729370.0,6,2020
19.0,Everton Ribeiro (FLA),727859.0,6,2020
20.0,Gil (COR),699327.0,6,2020
1.0,Pedro Geromel (GRE),2789389.0,7,2020
2.0,Nenê (FLU),2765087.0,7,2020
3.0,Diego Souza (GRE),2587267.0,7,2020
4.0,Marinho (SAN),2234823.0,7,2020
5.0,Egídio (FLU),1512215.0,7,2020
6.0,Alisson (GRE),1466156.0,7,2020
7.0,Jean Pyerre (GRE),940448.0,7,2020
8.0,Vanderlei (GRE),871156.0,7,2020
9.0,Evanilson (FLU),860419.0,7,2020
10.0,Odair Hellmann (FLU),808098.0,7,2020
11.0,João Paulo (SAN),786283.0,7,2020
12.0,Fernando Sobral (CEA),774647.0,7,2020
13.0,Soteldo (SAN),766591.0,7,2020
14.0,Carlos Sánchez (SAN),739695.0,7,2020
15.0,Calegari (FLU),739395.0,7,2020
16.0,Felipe Jonatan (SAN),733261.0,7,2020
17.0,Kannemann (GRE),729420.0,7,2020
18.0,Bruno Cortez (GRE),713642.0,7,2020
19.0,Léo Cittadini (CAP),643269.0,7,2020
20.0,Arrascaeta (FLA),637288.0,7,2020
1.0,Gabriel (FLA),3048026.0,8,2020
2.0,Thiago Galhardo (INT),2714835.0,8,2020
3.0,Víctor Cuesta (INT),1904425.0,8,2020
4.0,Everton Ribeiro (FLA),1616120.0,8,2020
5.0,Filipe Luís (FLA),1525858.0,8,2020
6.0,Luciano (SAO),1365374.0,8,2020
7.0,Jair Ventura (SPO),1365057.0,8,2020
8.0,Isla (FLA),1302839.0,8,2020
9.0,Marinho (SAN),1299417.0,8,2020
10.0,Arrascaeta (FLA),1250002.0,8,2020
11.0,Rodrigo Caio (FLA),1145796.0,8,2020
12.0,Cano (VAS),980943.0,8,2020
13.0,Jô (COR),952309.0,8,2020
14.0,Gil (COR),911601.0,8,2020
15.0,Domènec Torrent (FLA),855561.0,8,2020
16.0,Boschilia (INT),809026.0,8,2020
17.0,João Paulo (SAN),730322.0,8,2020
18.0,Soteldo (SAN),693938.0,8,2020
19.0,Léo Pereira (FLA),686349.0,8,2020
20.0,Pedro Geromel (GRE),679065.0,8,2020
1.0,Thiago Galhardo (INT),3016327.0,9,2020
2.0,Cano (VAS),2302825.0,9,2020
3.0,Víctor Cuesta (INT),2258815.0,9,2020
4.0,Luciano (SAO),1964055.0,9,2020
5.0,Everton Ribeiro (FLA),1576702.0,9,2020
6.0,Gabriel (FLA),1490293.0,9,2020
7.0,Marinho (SAN),1411767.0,9,2020
8.0,Rafael Vaz (GOI),1283350.0,9,2020
9.0,Miranda (VAS),1256177.0,9,2020
10.0,Reinaldo (SAO),1235639.0,9,2020
11.0,Wellington Paulista (FOR),1235336.0,9,2020
12.0,Thiago Larghi (GOI),1205461.0,9,2020
13.0,Yago Pikachu (VAS),1184455.0,9,2020
14.0,Arrascaeta (FLA),1087675.0,9,2020
15.0,Rogério Ceni (FOR),1019057.0,9,2020
16.0,Benítez (VAS),971335.0,9,2020
17.0,Fellipe Bastos (VAS),833338.0,9,2020
18.0,Filipe Luís (FLA),782538.0,9,2020
19.0,Marcelo Lomba (INT),741173.0,9,2020
20.0,Talles Magno (VAS),668634.0,9,2020
1.0,Marinho (SAN),2333734.0,10,2020
2.0,Eduardo Sasha (ATL),2237601.0,10,2020
3.0,Rodriguinho (BAH),2232330.0,10,2020
4.0,Júnior Alonso (ATL),1488941.0,10,2020
5.0,Franco (ATL),1424003.0,10,2020
6.0,Gilberto (BAH),1183617.0,10,2020
7.0,João Paulo (SAN),1175359.0,10,2020
8.0,Viña (PAL),1154757.0,10,2020
9.0,Gabriel (FLA),1091036.0,10,2020
10.0,Gustavo Gómez (PAL),1089854.0,10,2020
11.0,Guilherme Arana (ATL),1068945.0,10,2020
12.0,Cano (VAS),1036712.0,10,2020
13.0,Luan (PAL),970027.0,10,2020
14.0,Nino Paraíba (BAH),941148.0,10,2020
15.0,Patrick de Paula (PAL),909949.0,10,2020
16.0,Nenê (FLU),908147.0,10,2020
17.0,Otero (COR),875265.0,10,2020
18.0,Víctor Cuesta (INT),833551.0,10,2020
19.0,Zé Rafael (PAL),822252.0,10,2020
20.0,Jorge Sampaoli (ATL),798312.0,10,2020
1.0,Marinho (SAN),3081610.0,11,2020
2.0,Eduardo Sasha (ATL),2253915.0,11,2020
3.0,João Paulo (SAN),1714020.0,11,2020
4.0,Júnior Alonso (ATL),1297267.0,11,2020
5.0,Calegari (FLU),1175068.0,11,2020
6.0,Réver (ATL),1157434.0,11,2020
7.0,Fernando Sobral (CEA),1151449.0,11,2020
8.0,Vinícius (CEA),1142875.0,11,2020
9.0,Alisson (GRE),1079690.0,11,2020
10.0,Carlos Sánchez (SAN),1066732.0,11,2020
11.0,Sabino (CFC),1055715.0,11,2020
12.0,Maurício Barbieri (BGT),990269.0,11,2020
13.0,Guilherme Arana (ATL),949144.0,11,2020
14.0,Cano (VAS),931360.0,11,2020
15.0,Patrick (INT),906013.0,11,2020
16.0,Wellington Paulista (FOR),896002.0,11,2020
17.0,Jair (ATL),869876.0,11,2020
18.0,Gabriel Menino (PAL),860282.0,11,2020
19.0,Lucas Veríssimo (SAN),829203.0,11,2020
20.0,Claudinho (BGT),810534.0,11,2020
1.0,Cano (VAS),2772855.0,12,2020
2.0,Vinícius (CEA),2064096.0,12,2020
3.0,Thiago Galhardo (INT),2053888.0,12,2020
4.0,Nenê (FLU),1593744.0,12,2020
5.0,João Paulo (SAN),1243174.0,12,2020
6.0,Soteldo (SAN),1152565.0,12,2020
7.0,Luan Peres  (SAN),916957.0,12,2020
8.0,Nathan (ATL),878627.0,12,2020
9.0,Luiz Otávio (CEA),866346.0,12,2020
10.0,Víctor Cuesta (INT),834580.0,12,2020
11.0,Guilherme Arana (ATL),827348.0,12,2020
12.0,Cléber (CEA),797717.0,12,2020
13.0,Bruno Pacheco (CEA),750767.0,12,2020
14.0,Marinho (SAN),744854.0,12,2020
15.0,Fernando Sobral (CEA),743358.0,12,2020
16.0,Leandro Castan (VAS),742374.0,12,2020
17.0,Eduardo Sasha (ATL),741824.0,12,2020
18.0,Boschilia (INT),705321.0,12,2020
19.0,Fernando Prass (CEA),689762.0,12,2020
20.0,Júnior Alonso (ATL),685001.0,12,2020
1.0,Marinho (SAN),2072549.0,13,2020
2.0,Arrascaeta (FLA),2022293.0,13,2020
3.0,Pedro (FLA),1496017.0,13,2020
4.0,Keno (ATL),1493357.0,13,2020
5.0,Viña (PAL),1342304.0,13,2020
6.0,Thiago Galhardo (INT),1171833.0,13,2020
7.0,Raphael Veiga (PAL),1151491.0,13,2020
8.0,Bruno Henrique (FLA),1133283.0,13,2020
9.0,João Paulo (SAN),1029179.0,13,2020
10.0,Gustavo Gómez (PAL),955525.0,13,2020
11.0,Réver (ATL),837317.0,13,2020
12.0,Patrick de Paula (PAL),767244.0,13,2020
13.0,Mano Menezes (BAH),746177.0,13,2020
14.0,Luciano (SAO),699815.0,13,2020
15.0,Natan (FLA),686277.0,13,2020
16.0,Nenê (FLU),658171.0,13,2020
17.0,Rogério Ceni (FOR),635844.0,13,2020
18.0,Felipe Melo (PAL),623410.0,13,2020
19.0,Luan Peres  (SAN),577693.0,13,2020
20.0,Felipe Jonatan (SAN),558133.0,13,2020
1.0,Thiago Galhardo (INT),2683407.0,14,2020
2.0,Pedro (FLA),2321024.0,14,2020
3.0,Keno (ATL),2236576.0,14,2020
4.0,Pepê (GRE),1908606.0,14,2020
5.0,David Braz (GRE),1505545.0,14,2020
6.0,Bruno Henrique (FLA),1445948.0,14,2020
7.0,Natan (FLA),1168214.0,14,2020
8.0,Filipe Luís (FLA),1068190.0,14,2020
9.0,Nenê (FLU),1064347.0,14,2020
10.0,Raphael Veiga (PAL),817273.0,14,2020
11.0,Renato Gaúcho (GRE),809956.0,14,2020
12.0,Reinaldo (SAO),738873.0,14,2020
13.0,Diogo Barbosa (GRE),732250.0,14,2020
14.0,Domènec Torrent (FLA),701556.0,14,2020
15.0,Víctor Cuesta (INT),668727.0,14,2020
16.0,Patrick de Paula (PAL),667797.0,14,2020
17.0,Gerson (FLA),661593.0,14,2020
18.0,Nathan (ATL),629773.0,14,2020
19.0,Réver (ATL),602115.0,14,2020
20.0,Vinícius (CEA),601130.0,14,2020
1.0,Keno (ATL),2868755.0,15,2020
2.0,Thiago Galhardo (INT),2696853.0,15,2020
3.0,Pedro (FLA),2483069.0,15,2020
4.0,Bruno Henrique (FLA),1686894.0,15,2020
5.0,Réver (ATL),1505522.0,15,2020
6.0,Vinícius (CEA),1405012.0,15,2020
7.0,Nenê (FLU),1369209.0,15,2020
8.0,Guilherme Arana (ATL),1314769.0,15,2020
9.0,Jorge Sampaoli (ATL),1255731.0,15,2020
10.0,Víctor Cuesta (INT),1220451.0,15,2020
11.0,Hugo Souza (FLA),809186.0,15,2020
12.0,Filipe Luís (FLA),776147.0,15,2020
13.0,Natan (FLA),757434.0,15,2020
14.0,Guga (ATL),720869.0,15,2020
15.0,Raphael Veiga (PAL),626941.0,15,2020
16.0,Calegari (FLU),619082.0,15,2020
17.0,Gerson (FLA),565622.0,15,2020
18.0,Eduardo Sasha (ATL),564557.0,15,2020
19.0,Fernando Prass (CEA),551175.0,15,2020
20.0,Diego (FLA),536037.0,15,2020
1.0,Thiago Galhardo (INT),2710214.0,16,2020
2.0,Keno (ATL),2445005.0,16,2020
3.0,Pepê (GRE),1633511.0,16,2020
4.0,Marinho (SAN),1520896.0,16,2020
5.0,Nathan (ATL),1458565.0,16,2020
6.0,Everton Ribeiro (FLA),1424484.0,16,2020
7.0,Pedro (FLA),1282141.0,16,2020
8.0,Réver (ATL),1223240.0,16,2020
9.0,Pedro Geromel (GRE),1125611.0,16,2020
10.0,João Paulo (SAN),1122875.0,16,2020
11.0,Felipe Jonatan (SAN),1077729.0,16,2020
12.0,Domènec Torrent (FLA),1028582.0,16,2020
13.0,Marcos Rocha (PAL),992504.0,16,2020
14.0,Raphael Veiga (PAL),969766.0,16,2020
15.0,Jailson (PAL),789243.0,16,2020
16.0,Felipe Melo (PAL),756981.0,16,2020
17.0,Luan Peres  (SAN),738327.0,16,2020
18.0,Patrick de Paula (PAL),733939.0,16,2020
19.0,Lucas Veríssimo (SAN),718019.0,16,2020
20.0,Guilherme Arana (ATL),667802.0,16,2020
1.0,Thiago Galhardo (INT),2925897.0,17,2020
2.0,Keno (ATL),2407443.0,17,2020
3.0,Nenê (FLU),1792358.0,17,2020
4.0,Pedro (FLA),1517140.0,17,2020
5.0,Victor Luis (BOT),1347135.0,17,2020
6.0,Víctor Cuesta (INT),1119176.0,17,2020
7.0,Nathan (ATL),959055.0,17,2020
8.0,Bruno Henrique (FLA),923721.0,17,2020
9.0,Luciano (SAO),871083.0,17,2020
10.0,Digão (FLU),805156.0,17,2020
11.0,Marcelo Lomba (INT),752036.0,17,2020
12.0,Eduardo Coudet (INT),651944.0,17,2020
13.0,Léo Ortiz (BGT),600579.0,17,2020
14.0,Réver (ATL),594287.0,17,2020
15.0,Matheus Babi (BOT),578243.0,17,2020
16.0,Pepê (GRE),562693.0,17,2020
17.0,Claudinho (BGT),515666.0,17,2020
18.0,Madson (SAN),505580.0,17,2020
19.0,Viña (PAL),485221.0,17,2020
20.0,Brenner (SAO),482648.0,17,2020
1.0,Keno (ATL),2863822.0,18,2020
2.0,Thiago Galhardo (INT),2020920.0,18,2020
3.0,Pedro (FLA),1691175.0,18,2020
4.0,Vinícius (CEA),1608068.0,18,2020
5.0,Guilherme Arana (ATL),1417095.0,18,2020
6.0,Marinho (SAN),1265263.0,18,2020
7.0,Pepê (GRE),1158719.0,18,2020
8.0,Júnior Alonso (ATL),1100630.0,18,2020
9.0,Viña (PAL),1081222.0,18,2020
10.0,Fernando Prass (CEA),1007917.0,18,2020
11.0,Maurício Barbieri (BGT),973859.0,18,2020
12.0,Réver (ATL),966648.0,18,2020
13.0,Everton Ribeiro (FLA),963068.0,18,2020
14.0,Léo Ortiz (BGT),960455.0,18,2020
15.0,Claudinho (BGT),871361.0,18,2020
16.0,Jorge Sampaoli (ATL),853637.0,18,2020
17.0,Fernando Sobral (CEA),737451.0,18,2020
18.0,Bruno Pacheco (CEA),629515.0,18,2020
19.0,Savarino (ATL),620956.0,18,2020
20.0,Nenê (FLU),599118.0,18,2020
1.0,Pedro (FLA),2663374.0,19,2020
2.0,Thiago Galhardo (INT),2651047.0,19,2020
3.0,Marinho (SAN),2495874.0,19,2020
4.0,Everton Ribeiro (FLA),2098569.0,19,2020
5.0,Bruno Henrique (FLA),1403410.0,19,2020
6.0,David Braz (GRE),1287762.0,19,2020
7.0,Felipe Jonatan (SAN),1201913.0,19,2020
8.0,Hugo Souza (FLA),1128916.0,19,2020
9.0,Vinícius (CEA),1083188.0,19,2020
10.0,Giovanni Augusto (CFC),975363.0,19,2020
11.0,Sabino (CFC),949939.0,19,2020
12.0,Natan (FLA),826276.0,19,2020
13.0,Lucas Veríssimo (SAN),735883.0,19,2020
14.0,Domènec Torrent (FLA),683831.0,19,2020
15.0,Filipe Luís (FLA),631818.0,19,2020
16.0,Enderson Moreira (GOI),559907.0,19,2020
17.0,Heitor (INT),552988.0,19,2020
18.0,Víctor Cuesta (INT),547758.0,19,2020
19.0,Tadeu (GOI),539758.0,19,2020
20.0,Victor Luis (BOT),478376.0,19,2020
1.0,Patrick (INT),2133593.0,20,2020
2.0,Pedro (FLA),1943178.0,20,2020
3.0,Brenner (SAO),1763896.0,20,2020
4.0,Víctor Cuesta (INT),1614627.0,20,2020
5.0,Reinaldo (SAO),1494910.0,20,2020
6.0,Everton Ribeiro (FLA),1309347.0,20,2020
7.0,Luciano (SAO),1181678.0,20,2020
8.0,Vina (CEA),1181512.0,20,2020
9.0,Keno (ATL),1111542.0,20,2020
10.0,Eduardo Coudet (INT),1027299.0,20,2020
11.0,Bruno Alves (SAO),1009460.0,20,2020
12.0,Heitor (INT),905044.0,20,2020
13.0,Gilberto (BAH),771711.0,20,2020
14.0,Fernando Sobral (CEA),746564.0,20,2020
15.0,Fernando Diniz (SAO),686437.0,20,2020
16.0,Raphael Veiga (PAL),670719.0,20,2020
17.0,Luiz Adriano (PAL),651095.0,20,2020
18.0,Fernando Prass (CEA),637747.0,20,2020
19.0,Abel Hernández (INT),597981.0,20,2020
20.0,Bruno Henrique (FLA),579687.0,20,2020
1.0,Gabriel (FLA),2470206.0,21,2020
2.0,Thiago Galhardo (INT),1820788.0,21,2020
3.0,David Braz (GRE),1549748.0,21,2020
4.0,Rogério Ceni (FLA),1525599.0,21,2020
5.0,Pepê (GRE),1336241.0,21,2020
6.0,Arrascaeta (FLA),1285093.0,21,2020
7.0,Raphael Veiga (PAL),1265727.0,21,2020
8.0,Marinho (SAN),1227959.0,21,2020
9.0,Diogo Barbosa (GRE),850352.0,21,2020
10.0,Bruno Henrique (FLA),827730.0,21,2020
11.0,Brenner (SAO),814865.0,21,2020
12.0,Giovanni Augusto (CFC),811531.0,21,2020
13.0,Matheuzinho (FLA),765990.0,21,2020
14.0,Léo Pereira (FLA),750728.0,21,2020
15.0,Keno (ATL),743527.0,21,2020
16.0,Sabino (CFC),644549.0,21,2020
17.0,Gerson (FLA),633003.0,21,2020
18.0,Renê (FLA),579591.0,21,2020
19.0,Victor Luis (BOT),578766.0,21,2020
20.0,Iago Maidana (SPO),547972.0,21,2020
1.0,Brenner (SAO),2158312.0,22,2020
2.0,Arrascaeta (FLA),1906399.0,22,2020
3.0,Bruno Henrique (FLA),1867956.0,22,2020
4.0,Keno (ATL),1306121.0,22,2020
5.0,Reinaldo (SAO),1294662.0,22,2020
6.0,Vina (CEA),1274117.0,22,2020
7.0,Rogério Ceni (FLA),1207556.0,22,2020
8.0,Luciano (SAO),1038117.0,22,2020
9.0,Gustavo Gómez (PAL),1033345.0,22,2020
10.0,Everton Ribeiro (FLA),977539.0,22,2020
11.0,Isla (FLA),715575.0,22,2020
12.0,Víctor Cuesta (INT),706747.0,22,2020
13.0,Bruno Alves (SAO),702043.0,22,2020
14.0,Fernando Diniz (SAO),650457.0,22,2020
15.0,Marcos Rocha (PAL),636780.0,22,2020
16.0,Gabriel Sara (SAO),630807.0,22,2020
17.0,Tiago Volpi (SAO),628540.0,22,2020
18.0,Luiz Adriano (PAL),620068.0,22,2020
19.0,Patrick (INT),616360.0,22,2020
20.0,Iago Maidana (SPO),571103.0,22,2020
1.0,Luciano (SAO),1659046.0,24,2020
2.0,Arrascaeta (FLA),1515432.0,24,2020
3.0,Pedro Geromel (GRE),1428100.0,24,2020
4.0,Pepê (GRE),1247779.0,24,2020
5.0,Brenner (SAO),1213926.0,24,2020
6.0,Reinaldo (SAO),1197404.0,24,2020
7.0,Everton Ribeiro (FLA),1143369.0,24,2020
8.0,Vina (CEA),1119607.0,24,2020
9.0,Bruno Henrique (FLA),1067229.0,24,2020
10.0,Keno (ATL),966282.0,24,2020
11.0,Fernando Diniz (SAO),929927.0,24,2020
12.0,Gabriel Sara (SAO),777495.0,24,2020
13.0,Tiago Volpi (SAO),718102.0,24,2020
14.0,Raphael Veiga (PAL),685828.0,24,2020
15.0,Pedro (FLA),673043.0,24,2020
16.0,Calegari (FLU),667103.0,24,2020
17.0,Guilherme Arana (ATL),638282.0,24,2020
18.0,Nenê (FLU),598600.0,24,2020
19.0,Marinho (SAN),589357.0,24,2020
20.0,Bruno Alves (SAO),572632.0,24,2020
1.0,Raphael Veiga (PAL),1695602.0,25,2020
2.0,Thiago Galhardo (INT),1673376.0,25,2020
3.0,Viña (PAL),1458369.0,25,2020
4.0,Bruno Henrique (FLA),1292691.0,25,2020
5.0,Arrascaeta (FLA),1264531.0,25,2020
6.0,Luciano (SAO),1118730.0,25,2020
7.0,Keno (ATL),950553.0,25,2020
8.0,Pepê (GRE),934662.0,25,2020
9.0,Víctor Cuesta (INT),915070.0,25,2020
10.0,Gustavo Gómez (PAL),805499.0,25,2020
11.0,Everton Ribeiro (FLA),800316.0,25,2020
12.0,Brenner (SAO),686830.0,25,2020
13.0,David Braz (GRE),666016.0,25,2020
14.0,Claudinho (BGT),642629.0,25,2020
15.0,Abel Ferreira (PAL),632209.0,25,2020
16.0,Weverton (PAL),555007.0,25,2020
17.0,Rogério Ceni (FLA),489853.0,25,2020
18.0,Rodrigo Caio (FLA),473361.0,25,2020
19.0,Gabriel Veron (PAL),457528.0,25,2020
20.0,Orejuela (GRE),438716.0,25,2020
1.0,Gabriel (FLA),2246599.0,26,2020
2.0,Bruno Henrique (FLA),1837002.0,26,2020
3.0,Arrascaeta (FLA),1735377.0,26,2020
4.0,Rogério Ceni (FLA),1333934.0,26,2020
5.0,Everton Ribeiro (FLA),1299176.0,26,2020
6.0,Rodrigo Caio (FLA),1280672.0,26,2020
7.0,Vina (CEA),1157647.0,26,2020
8.0,Sabino (CFC),1031979.0,26,2020
9.0,Claudinho (BGT),1020096.0,26,2020
10.0,Gil (COR),912828.0,26,2020
11.0,Fábio Santos (COR),845937.0,26,2020
12.0,Fagner (COR),823930.0,26,2020
13.0,Raphael Veiga (PAL),759831.0,26,2020
14.0,Isla (FLA),758529.0,26,2020
