colocação,jogador,escalações,rodada,ano
15.0,Diego Alves (FLA),740173.0,26,2020
16.0,Filipe Luís (FLA),727276.0,26,2020
17.0,Giovanni Augusto (CFC),654284.0,26,2020
18.0,Otero (COR),571588.0,26,2020
19.0,Viña (PAL),544467.0,26,2020
20.0,Thiago Galhardo (INT),472815.0,26,2020
1.0,Marinho (SAN),1676384.0,27,2020
2.0,Keno (ATL),1598041.0,27,2020
3.0,Pedro (FLA),1425575.0,27,2020
4.0,Viña (PAL),1168536.0,27,2020
5.0,Everton Ribeiro (FLA),1163102.0,27,2020
6.0,Arrascaeta (FLA),1133671.0,27,2020
7.0,Guilherme Arana (ATL),879735.0,27,2020
8.0,Gustavo Gómez (PAL),824331.0,27,2020
9.0,Bruno Henrique (FLA),781611.0,27,2020
10.0,Réver (ATL),721857.0,27,2020
11.0,Vina (CEA),677759.0,27,2020
12.0,Gabriel Menino (PAL),635318.0,27,2020
13.0,Rodrigo Caio (FLA),633293.0,27,2020
14.0,Thiago Galhardo (INT),578805.0,27,2020
15.0,Rogério Ceni (FLA),575672.0,27,2020
16.0,Júnior Alonso (ATL),535366.0,27,2020
17.0,Weverton (PAL),477286.0,27,2020
18.0,Patrick (INT),472292.0,27,2020
19.0,Vargas (ATL),468836.0,27,2020
20.0,John Victor (SAN),466869.0,27,2020
1.0,Gabriel (FLA),1710078.0,28,2020
2.0,Pepê (GRE),1628563.0,28,2020
3.0,Arrascaeta (FLA),1410876.0,28,2020
4.0,Bruno Henrique (FLA),1322096.0,28,2020
5.0,Vina (CEA),1234482.0,28,2020
6.0,Kannemann (GRE),1185254.0,28,2020
7.0,Brenner (SAO),1020782.0,28,2020
8.0,Jean Pyerre (GRE),1015651.0,28,2020
9.0,Reinaldo (SAO),971988.0,28,2020
10.0,Renato Gaúcho (GRE),868680.0,28,2020
11.0,Everton Ribeiro (FLA),841227.0,28,2020
12.0,Rodrigo Caio (FLA),785967.0,28,2020
13.0,Diogo Barbosa (GRE),758104.0,28,2020
14.0,Isla (FLA),693507.0,28,2020
15.0,Sabino (CFC),672058.0,28,2020
16.0,Filipe Luís (FLA),635803.0,28,2020
17.0,Rogério Ceni (FLA),615865.0,28,2020
18.0,Diego Souza (GRE),569169.0,28,2020
19.0,Alisson (GRE),541769.0,28,2020
20.0,Tadeu (GOI),481617.0,28,2020
1.0,Gabriel (FLA),1546948.0,29,2020
2.0,Thiago Galhardo (INT),1444519.0,29,2020
3.0,Arrascaeta (FLA),1173308.0,29,2020
4.0,Brenner (SAO),1097088.0,29,2020
5.0,Bruno Henrique (FLA),960900.0,29,2020
6.0,Everton Ribeiro (FLA),857884.0,29,2020
7.0,Patrick (INT),794187.0,29,2020
8.0,Rodrigo Moledo (INT),777615.0,29,2020
9.0,Rogério Ceni (FLA),746330.0,29,2020
10.0,Víctor Cuesta (INT),737543.0,29,2020
11.0,Keno (ATL),720747.0,29,2020
12.0,Cano (VAS),712971.0,29,2020
13.0,Rodrigo Caio (FLA),711698.0,29,2020
14.0,Reinaldo (SAO),706457.0,29,2020
15.0,Isla (FLA),613070.0,29,2020
16.0,Hugo Souza (FLA),613054.0,29,2020
17.0,Pepê (GRE),569173.0,29,2020
18.0,Filipe Luís (FLA),522604.0,29,2020
19.0,Guilherme Arana (ATL),384203.0,29,2020
20.0,David Braz (GRE),375238.0,29,2020
1.0,Vina (CEA),1593687.0,30,2020
2.0,Marinho (SAN),1540098.0,30,2020
3.0,Keno (ATL),1136632.0,30,2020
4.0,Cano (VAS),1091184.0,30,2020
5.0,Arrascaeta (FLA),1053369.0,30,2020
6.0,Patrick (INT),876626.0,30,2020
7.0,Hyoran (ATL),729386.0,30,2020
8.0,Bruno Henrique (FLA),725567.0,30,2020
9.0,Everton Ribeiro (FLA),710841.0,30,2020
10.0,Réver (ATL),694906.0,30,2020
11.0,Guilherme Arana (ATL),656556.0,30,2020
12.0,Víctor Cuesta (INT),649955.0,30,2020
13.0,Calegari (FLU),638028.0,30,2020
14.0,Rogério Ceni (FLA),619083.0,30,2020
15.0,Júnior Alonso (ATL),601429.0,30,2020
16.0,Yago Pikachu (VAS),561008.0,30,2020
17.0,Rodrigo Caio (FLA),542133.0,30,2020
18.0,Brenner (SAO),532221.0,30,2020
19.0,Felipe Jonatan (SAN),480376.0,30,2020
20.0,Everson (ATL),418622.0,30,2020
1.0,Luciano (SAO),1464869.0,32,2020
2.0,Hyoran (ATL),1287583.0,32,2020
3.0,Arrascaeta (FLA),1173189.0,32,2020
4.0,Marinho (SAN),1137448.0,32,2020
5.0,Gabriel (FLA),977052.0,32,2020
6.0,Cazares (COR),967517.0,32,2020
7.0,Reinaldo (SAO),764747.0,32,2020
8.0,Calegari (FLU),762155.0,32,2020
9.0,Keno (ATL),620550.0,32,2020
10.0,Vina (CEA),612031.0,32,2020
11.0,Júnior Alonso (ATL),606319.0,32,2020
12.0,Arboleda (SAO),596211.0,32,2020
13.0,Cuca (SAN),531018.0,32,2020
14.0,Guilherme Arana (ATL),526705.0,32,2020
15.0,Luccas Claro (FLU),500741.0,32,2020
16.0,Brenner (SAO),481775.0,32,2020
17.0,Tiago Volpi (SAO),442246.0,32,2020
18.0,Jean (ACG),423074.0,32,2020
19.0,Lucas Veríssimo (SAN),414998.0,32,2020
20.0,Fernando Diniz (SAO),403939.0,32,2020
1.0,Vina (CEA),1713868.0,33,2020
2.0,Gabriel (FLA),1528437.0,33,2020
3.0,Hyoran (ATL),1355305.0,33,2020
4.0,Arrascaeta (FLA),1175459.0,33,2020
5.0,Yuri Alberto (INT),1142816.0,33,2020
6.0,Júnior Alonso (ATL),942112.0,33,2020
7.0,Guilherme Arana (ATL),921753.0,33,2020
8.0,Luciano (SAO),838470.0,33,2020
9.0,Cano (VAS),773278.0,33,2020
10.0,Calegari (FLU),640202.0,33,2020
11.0,Jorge Sampaoli (ATL),623954.0,33,2020
12.0,Víctor Cuesta (INT),591100.0,33,2020
13.0,Rogério Ceni (FLA),571729.0,33,2020
14.0,Patrick (INT),531926.0,33,2020
15.0,Bruno Henrique (FLA),531922.0,33,2020
16.0,Luccas Claro (FLU),513463.0,33,2020
17.0,Claudinho (BGT),483943.0,33,2020
18.0,Yago Pikachu (VAS),460952.0,33,2020
19.0,Savarino (ATL),458612.0,33,2020
20.0,Gustavo Henrique (FLA),423326.0,33,2020
1.0,Claudinho (BGT),1569862.0,34,2020
2.0,Hyoran (ATL),1347902.0,34,2020
3.0,Gabriel (FLA),1344072.0,34,2020
4.0,Arrascaeta (FLA),1190548.0,34,2020
5.0,Vina (CEA),887706.0,34,2020
6.0,Léo Ortiz (BGT),772188.0,34,2020
7.0,Júnior Alonso (ATL),682535.0,34,2020
8.0,Guilherme Arana (ATL),664803.0,34,2020
9.0,Bruno Henrique (FLA),596196.0,34,2020
10.0,Hugo Souza (FLA),489289.0,34,2020
11.0,Gustavo Henrique (FLA),472175.0,34,2020
12.0,Maurício Barbieri (BGT),469265.0,34,2020
13.0,Filipe Luís (FLA),464444.0,34,2020
14.0,Raul (BGT),463556.0,34,2020
15.0,Everton Ribeiro (FLA),432666.0,34,2020
16.0,Rogério Ceni (FLA),428716.0,34,2020
17.0,Enderson Moreira (FOR),398831.0,34,2020
18.0,Isla (FLA),384561.0,34,2020
19.0,Yuri Alberto (INT),368988.0,34,2020
20.0,Calegari (FLU),368459.0,34,2020
1.0,Gabriel (FLA),1346912.0,35,2020
2.0,Patrick (INT),1322903.0,35,2020
3.0,Víctor Cuesta (INT),1184400.0,35,2020
4.0,Arrascaeta (FLA),1058889.0,35,2020
5.0,Yuri Alberto (INT),957588.0,35,2020
6.0,Vina (CEA),916169.0,35,2020
7.0,Pepê (GRE),914338.0,35,2020
8.0,Abel Braga (INT),790602.0,35,2020
9.0,Kannemann (GRE),760907.0,35,2020
10.0,Claudinho (BGT),712041.0,35,2020
11.0,Luciano (SAO),695590.0,35,2020
12.0,Jean (ACG),615475.0,35,2020
13.0,Diogo Barbosa (GRE),522798.0,35,2020
14.0,Jean Pyerre (GRE),483433.0,35,2020
15.0,Edenílson (INT),461322.0,35,2020
16.0,Reinaldo (SAO),438114.0,35,2020
17.0,Marcelo Lomba (INT),410761.0,35,2020
18.0,Everton Ribeiro (FLA),406869.0,35,2020
19.0,Hyoran (ATL),406140.0,35,2020
20.0,Lucas Ribeiro (INT),399441.0,35,2020
1.0,Marinho (SAN),1403078.0,36,2020
2.0,Vina (CEA),1332143.0,36,2020
3.0,Gabriel (FLA),1260432.0,36,2020
4.0,Hyoran (ATL),1127510.0,36,2020
5.0,Claudinho (BGT),1103846.0,36,2020
6.0,Arrascaeta (FLA),953384.0,36,2020
7.0,Luan Peres  (SAN),677815.0,36,2020
8.0,Guilherme Arana (ATL),669407.0,36,2020
9.0,Glauber Ramos (GOI),598430.0,36,2020
10.0,Everton Ribeiro (FLA),595028.0,36,2020
11.0,Hugo Souza (FLA),573453.0,36,2020
12.0,Felipe Jonatan (SAN),528409.0,36,2020
13.0,Júnior Alonso (ATL),526645.0,36,2020
14.0,Filipe Luís (FLA),462659.0,36,2020
15.0,Léo Ortiz (BGT),449095.0,36,2020
16.0,Bruno Henrique (FLA),400740.0,36,2020
17.0,Cuca (SAN),353246.0,36,2020
18.0,Rogério Ceni (FLA),343680.0,36,2020
19.0,Laércio (SAN),339307.0,36,2020
20.0,Jean (ACG),335989.0,36,2020
1.0,Vina (CEA),1455610.0,37,2020
2.0,Luciano (SAO),1248435.0,37,2020
3.0,Marinho (SAN),1194140.0,37,2020
4.0,Claudinho (BGT),1050046.0,37,2020
5.0,Gabriel (FLA),903665.0,37,2020
6.0,Arrascaeta (FLA),881974.0,37,2020
7.0,Reinaldo (SAO),723820.0,37,2020
8.0,Everton Ribeiro (FLA),586355.0,37,2020
9.0,Hyoran (ATL),497369.0,37,2020
10.0,Gil (COR),496560.0,37,2020
11.0,Fábio Santos (COR),490058.0,37,2020
12.0,Cazares (COR),471492.0,37,2020
13.0,Arboleda (SAO),451668.0,37,2020
14.0,Fagner (COR),427372.0,37,2020
15.0,Guilherme Arana (ATL),402830.0,37,2020
16.0,Enderson Moreira (FOR),384218.0,37,2020
17.0,Bruno Henrique (FLA),367580.0,37,2020
18.0,Júnior Alonso (ATL),355520.0,37,2020
19.0,Marcos Vizolli (SAO),353670.0,37,2020
20.0,Vagner Mancini (COR),331393.0,37,2020
1.0,Gabriel (FLA),1381270.0,38,2020
2.0,Vina (CEA),1369898.0,38,2020
3.0,Claudinho (BGT),1061912.0,38,2020
4.0,Arrascaeta (FLA),1025072.0,38,2020
5.0,Calegari (FLU),856662.0,38,2020
6.0,Patrick (INT),752385.0,38,2020
7.0,Nenê (FLU),720791.0,38,2020
8.0,Luccas Claro (FLU),667341.0,38,2020
9.0,Víctor Cuesta (INT),617839.0,38,2020
10.0,Bruno Henrique (FLA),612682.0,38,2020
11.0,Jean (ACG),517288.0,38,2020
12.0,Luciano (SAO),482821.0,38,2020
13.0,Rogério Ceni (FLA),472377.0,38,2020
14.0,Everton Ribeiro (FLA),464311.0,38,2020
15.0,Yuri Alberto (INT),449237.0,38,2020
16.0,Filipe Luís (FLA),413384.0,38,2020
17.0,Rodrigo Caio (FLA),411240.0,38,2020
18.0,Pedro Henrique (CAP),398376.0,38,2020
19.0,Cano (VAS),387289.0,38,2020
20.0,Guilherme Arana (ATL),376169.0,38,2020
1.0,Rodriguinho (CRU),2301719.0,1,2019
2.0,Luan (ATL),1739290.0,1,2019
3.0,Fagner (COR),1429926.0,1,2019
4.0,Pedro Geromel (GRE),1325520.0,1,2019
5.0,Alexandre Pato (SAO),1320655.0,1,2019
6.0,Ricardo Oliveira (ATL),1308276.0,1,2019
7.0,Guga (ATL),1256382.0,1,2019
8.0,Antony (SAO),1228398.0,1,2019
9.0,Bruno Henrique (FLA),1190283.0,1,2019
10.0,Cuéllar (FLA),1066723.0,1,2019
11.0,Bruno Alves (SAO),1064599.0,1,2019
12.0,Everton (GRE),1032570.0,1,2019
13.0,Luciano (FLU),1009242.0,1,2019
14.0,Tiago Nunes (ATL),922555.0,1,2019
15.0,Tiago Volpi (SAO),879032.0,1,2019
16.0,Arboleda (SAO),842942.0,1,2019
17.0,Fred (CRU),775477.0,1,2019
18.0,Fábio Santos (ATL),761134.0,1,2019
19.0,Santos (ATL),753961.0,1,2019
20.0,Nino (FLU),747075.0,1,2019
1.0,Fred (CRU),3330952.0,2,2019
2.0,Fagner (COR),2728812.0,2,2019
3.0,Pedro Geromel (GRE),1424746.0,2,2019
4.0,Sornoza (COR),1367761.0,2,2019
5.0,Everton (GRE),1366490.0,2,2019
6.0,Cássio (COR),1233928.0,2,2019
7.0,Mano Menezes (CRU),1145621.0,2,2019
8.0,Victor Ferraz (SAN),1089792.0,2,2019
9.0,Dedé (CRU),1083868.0,2,2019
10.0,Cuéllar (FLA),1071573.0,2,2019
11.0,Manoel (COR),976195.0,2,2019
12.0,Fábio (CRU),965402.0,2,2019
13.0,Léo (CRU),957137.0,2,2019
14.0,Alexandre Pato (SAO),947946.0,2,2019
15.0,Rodriguinho (CRU),877852.0,2,2019
16.0,Jean Mota (SAN),852575.0,2,2019
17.0,Bruno Henrique (FLA),819964.0,2,2019
18.0,Edílson (CRU),804384.0,2,2019
19.0,Gustavo Henrique (SAN),792080.0,2,2019
20.0,Clayson (COR),782371.0,2,2019
1.0,Fred (CRU),3129451.0,3,2019
2.0,Rodriguinho (CRU),2569155.0,3,2019
3.0,Léo (CRU),2067578.0,3,2019
4.0,Dedé (CRU),1665996.0,3,2019
5.0,Alexandre Pato (SAO),1471332.0,3,2019
6.0,Robinho (CRU),1292679.0,3,2019
7.0,Victor Ferraz (SAN),1180633.0,3,2019
8.0,Egídio (CRU),1135801.0,3,2019
9.0,Gatito Fernández (BOT),1128296.0,3,2019
10.0,Diego (FLA),1126027.0,3,2019
11.0,Gustavo Henrique (SAN),1119278.0,3,2019
12.0,Jean Mota (SAN),1108155.0,3,2019
13.0,Everton (SAO),1097553.0,3,2019
14.0,Cássio (COR),1087447.0,3,2019
15.0,Arthur Caíke (BAH),1084385.0,3,2019
16.0,Erik (BOT),1003359.0,3,2019
17.0,Ramires (BAH),992850.0,3,2019
18.0,Mano Menezes (CRU),989784.0,3,2019
19.0,Nino Paraíba (BAH),981019.0,3,2019
20.0,Ricardo Oliveira (ATL),962868.0,3,2019
1.0,Diego (FLA),3162862.0,4,2019
2.0,Tchê Tchê (SAO),2044450.0,4,2019
3.0,Vitinho (FLA),1435539.0,4,2019
4.0,Jorge (SAN),1424425.0,4,2019
5.0,Eduardo Sasha (SAN),1404859.0,4,2019
6.0,Paolo Guerrero (INT),1266654.0,4,2019
7.0,Victor Ferraz (SAN),1259145.0,4,2019
8.0,Antony (SAO),1256629.0,4,2019
9.0,Pedro (FLU),1122409.0,4,2019
10.0,Lucas Veríssimo (SAN),1085046.0,4,2019
11.0,Fagner (COR),1057129.0,4,2019
12.0,Everton (SAO),962584.0,4,2019
13.0,Pedro Geromel (GRE),934644.0,4,2019
14.0,Geninho (AVA),934271.0,4,2019
15.0,Gustavo Henrique (SAN),923145.0,4,2019
16.0,Cássio (COR),915534.0,4,2019
17.0,Abel Braga (FLA),862786.0,4,2019
18.0,Jorge Sampaoli (SAN),808975.0,4,2019
19.0,Rodrigo Moledo (INT),801061.0,4,2019
20.0,Fred (CRU),793802.0,4,2019
1.0,Paolo Guerrero (INT),2813326.0,5,2019
2.0,Rodrigo Moledo (INT),2476672.0,5,2019
3.0,Zeca (INT),2122976.0,5,2019
4.0,Víctor Cuesta (INT),1708839.0,5,2019
5.0,Tchê Tchê (SAO),1631009.0,5,2019
6.0,Nico López (INT),1571970.0,5,2019
7.0,Yago Pikachu (VAS),1514888.0,5,2019
8.0,Rodrigo Lindoso (INT),1310088.0,5,2019
9.0,Odair Hellmann (INT),1277467.0,5,2019
10.0,D'Alessandro (INT),1229717.0,5,2019
11.0,Everaldo (CHA),1181103.0,5,2019
12.0,Iago (INT),1164482.0,5,2019
13.0,Rodriguinho (CRU),1163888.0,5,2019
14.0,Alexandre Pato (SAO),1159002.0,5,2019
15.0,Nonato (INT),1128153.0,5,2019
16.0,Pedro Geromel (GRE),1106074.0,5,2019
17.0,Marcelo Lomba (INT),1063400.0,5,2019
18.0,Vanderlei Luxemburgo (VAS),1050066.0,5,2019
19.0,Everton (GRE),997523.0,5,2019
20.0,Bruno Alves (SAO),981311.0,5,2019
1.0,Fred (CRU),2702760.0,6,2019
2.0,Dedé (CRU),2311573.0,6,2019
3.0,Rodriguinho (CRU),2232086.0,6,2019
4.0,Bruno Henrique (FLA),1787045.0,6,2019
5.0,Diego Alves (FLA),1620712.0,6,2019
6.0,Rodrigo Caio (FLA),1590989.0,6,2019
7.0,Pedro Geromel (GRE),1471876.0,6,2019
8.0,Everton Ribeiro (FLA),1358786.0,6,2019
9.0,Gustavo Scarpa (PAL),1226646.0,6,2019
10.0,Egídio (CRU),1154645.0,6,2019
11.0,Everton (GRE),1145670.0,6,2019
12.0,Renê (FLA),1144408.0,6,2019
13.0,Léo (CRU),1086446.0,6,2019
14.0,Zé Rafael (PAL),989477.0,6,2019
15.0,Deyverson (PAL),964596.0,6,2019
16.0,Diego (FLA),946428.0,6,2019
17.0,Mano Menezes (CRU),937629.0,6,2019
18.0,Fábio (CRU),878992.0,6,2019
19.0,Fagner (COR),841257.0,6,2019
20.0,Robinho (CRU),827027.0,6,2019
1.0,Paolo Guerrero (INT),3170167.0,7,2019
2.0,Nonato (INT),2750412.0,7,2019
3.0,Zeca (INT),1751086.0,7,2019
4.0,Víctor Cuesta (INT),1648786.0,7,2019
5.0,Fábio Santos (ATL),1481326.0,7,2019
6.0,Cazares (ATL),1370147.0,7,2019
7.0,Diego Alves (FLA),1350363.0,7,2019
8.0,Rodrigo Caio (FLA),1318314.0,7,2019
9.0,Emerson Santos (INT),1306641.0,7,2019
10.0,Gabriel (FLA),1281494.0,7,2019
11.0,Dudu (PAL),1093124.0,7,2019
12.0,Odair Hellmann (INT),1049750.0,7,2019
13.0,Chará (ATL),1018740.0,7,2019
14.0,Everton Ribeiro (FLA),1017652.0,7,2019
15.0,Igor Rabello (ATL),913992.0,7,2019
16.0,Léo Duarte (FLA),894629.0,7,2019
17.0,Arrascaeta (FLA),871069.0,7,2019
18.0,Cuéllar (FLA),867745.0,7,2019
19.0,Nico López (INT),797589.0,7,2019
20.0,Eduardo Barroca (BOT),797029.0,7,2019
1.0,Pedro Geromel (GRE),2732669.0,8,2019
2.0,Dudu (PAL),1837078.0,8,2019
3.0,Bruno Henrique (FLA),1809567.0,8,2019
4.0,Bruno Henrique (PAL),1703301.0,8,2019
5.0,Felipe Vizeu (GRE),1698428.0,8,2019
6.0,Thiago Galhardo (CEA),1341949.0,8,2019
7.0,Diogo Barbosa (PAL),1328966.0,8,2019
8.0,Paulo Victor (GRE),1290285.0,8,2019
9.0,Thiago Neves (CRU),1268308.0,8,2019
10.0,Nonato (INT),1240065.0,8,2019
11.0,Zé Rafael (PAL),1224556.0,8,2019
12.0,Rodrigo Caio (FLA),1204982.0,8,2019
13.0,Everton Ribeiro (FLA),1109901.0,8,2019
14.0,Deyverson (PAL),1023202.0,8,2019
15.0,Alexandre Pato (SAO),994259.0,8,2019
16.0,Marcos Rocha (PAL),981367.0,8,2019
17.0,Diego Alves (FLA),865950.0,8,2019
18.0,Renato Gaúcho (GRE),848715.0,8,2019
19.0,Diego (FLA),805050.0,8,2019
20.0,Dedé (CRU),783212.0,8,2019
1.0,Rodrigo Caio (FLA),2570567.0,9,2019
2.0,Dudu (PAL),2551816.0,9,2019
3.0,Bruno Henrique (FLA),1971694.0,9,2019
4.0,Everton Ribeiro (FLA),1840508.0,9,2019
5.0,Gabriel (FLA),1708913.0,9,2019
6.0,Bruno Henrique (PAL),1419135.0,9,2019
7.0,Nonato (INT),1414719.0,9,2019
8.0,Cazares (ATL),1399030.0,9,2019
9.0,Marcos Rocha (PAL),1336764.0,9,2019
10.0,Víctor Cuesta (INT),1321465.0,9,2019
11.0,César (FLA),1201214.0,9,2019
12.0,Thiago Neves (CRU),1181221.0,9,2019
13.0,Renê (FLA),1176929.0,9,2019
14.0,Diogo Barbosa (PAL),1158758.0,9,2019
15.0,Zé Rafael (PAL),1087571.0,9,2019
16.0,Edu Dracena (PAL),1072974.0,9,2019
17.0,Antônio Carlos  (PAL),1023729.0,9,2019
18.0,Deyverson (PAL),968902.0,9,2019
19.0,Luiz Felipe Scolari (PAL),847592.0,9,2019
20.0,Fernando Diniz (FLU),810390.0,9,2019
1.0,Rodrigo Caio (FLA),2489623.0,10,2019
2.0,Arrascaeta (FLA),2314494.0,10,2019
3.0,Bruno Henrique (FLA),2025645.0,10,2019
4.0,Thiago Neves (CRU),1852162.0,10,2019
5.0,Gabriel (FLA),1822943.0,10,2019
6.0,Dedé (CRU),1462615.0,10,2019
7.0,Fagner (COR),1427045.0,10,2019
8.0,Renê (FLA),1377368.0,10,2019
9.0,Cuéllar (FLA),1176105.0,10,2019
10.0,Danilo Avelar (COR),1139062.0,10,2019
11.0,Pedrinho (COR),1132158.0,10,2019
12.0,Cássio (COR),1069861.0,10,2019
13.0,Vagner Love (COR),1046049.0,10,2019
14.0,Gil (COR),1043318.0,10,2019
15.0,João Pedro (FLU),1006796.0,10,2019
16.0,Fernando Diniz (FLU),956632.0,10,2019
17.0,Jorge Jesus (FLA),853925.0,10,2019
18.0,Diego Alves (FLA),781652.0,10,2019
19.0,Pedro (FLU),746334.0,10,2019
20.0,Fábio Carille (COR),708484.0,10,2019
1.0,Hernanes (SAO),2042200.0,11,2019
2.0,Cazares (ATL),1983914.0,11,2019
3.0,Alexandre Pato (SAO),1454747.0,11,2019
4.0,Gilberto (BAH),1118614.0,11,2019
5.0,Alerrandro (ATL),1118374.0,11,2019
6.0,Reinaldo (SAO),970444.0,11,2019
7.0,Réver (ATL),948044.0,11,2019
8.0,Pedro (FLU),924523.0,11,2019
9.0,Bruno Alves (SAO),911551.0,11,2019
10.0,Jorge (SAN),832753.0,11,2019
11.0,Fagner (COR),749665.0,11,2019
12.0,Chará (ATL),712123.0,11,2019
13.0,Rodrigo Santana (ATL),708695.0,11,2019
14.0,Antony (SAO),706190.0,11,2019
15.0,Rodrigo Caio (FLA),684756.0,11,2019
16.0,Fábio Santos (ATL),683474.0,11,2019
17.0,Gabriel (FLA),682484.0,11,2019
18.0,Cuca (SAO),681146.0,11,2019
19.0,Yago Pikachu (VAS),650137.0,11,2019
20.0,Igor Rabello (ATL),641329.0,11,2019
1.0,Carlos Sánchez (SAN),2484356.0,12,2019
2.0,Jorge (SAN),2123360.0,12,2019
3.0,Gabriel (FLA),2076588.0,12,2019
4.0,Eduardo Sasha (SAN),1585128.0,12,2019
5.0,Rodrigo Caio (FLA),1433134.0,12,2019
6.0,Dudu (PAL),1388477.0,12,2019
7.0,Soteldo (SAN),1263787.0,12,2019
8.0,Jorge Sampaoli (SAN),1260018.0,12,2019
9.0,Gustavo Henrique (SAN),1173067.0,12,2019
10.0,Victor Ferraz (SAN),1135940.0,12,2019
11.0,Nonato (INT),1134597.0,12,2019
12.0,Bruno Henrique (PAL),1084256.0,12,2019
13.0,Cuéllar (FLA),1002171.0,12,2019
14.0,Éverson (SAN),931241.0,12,2019
15.0,Pedro Geromel (GRE),911315.0,12,2019
16.0,Diogo Barbosa (PAL),849541.0,12,2019
17.0,Gustavo Gómez (PAL),845228.0,12,2019
18.0,Luan (GRE),801790.0,12,2019
19.0,Everaldo (CHA),751964.0,12,2019
20.0,Aguilar (SAN),730619.0,12,2019
1.0,Everton (GRE),2776653.0,13,2019
2.0,Pedro Geromel (GRE),2251065.0,13,2019
3.0,Jorge (SAN),2219081.0,13,2019
4.0,Carlos Sánchez (SAN),1916309.0,13,2019
5.0,Eduardo Sasha (SAN),1694418.0,13,2019
6.0,Yago Pikachu (VAS),1476805.0,13,2019
7.0,Soteldo (SAN),1462522.0,13,2019
8.0,Pedro (FLU),1275714.0,13,2019
9.0,Jean Pyerre (GRE),1127176.0,13,2019
10.0,Leandro Castan (VAS),1053315.0,13,2019
11.0,Jorge Sampaoli (SAN),1025562.0,13,2019
12.0,Vanderlei Luxemburgo (VAS),1003169.0,13,2019
13.0,Bruno Henrique (FLA),934617.0,13,2019
14.0,Éverson (SAN),920059.0,13,2019
15.0,Cazares (ATL),834890.0,13,2019
16.0,Marrony (VAS),815799.0,13,2019
17.0,Gustavo Henrique (SAN),711348.0,13,2019
18.0,Lucas Veríssimo (SAN),708530.0,13,2019
19.0,Gatito Fernández (BOT),691476.0,13,2019
20.0,Thiago Galhardo (CEA),651767.0,13,2019
1.0,Arrascaeta (FLA),2396430.0,14,2019
2.0,Bruno Henrique (FLA),2081259.0,14,2019
3.0,Dudu (PAL),1813426.0,14,2019
4.0,Dedé (CRU),1698022.0,14,2019
5.0,Cazares (ATL),1662936.0,14,2019
6.0,Paolo Guerrero (INT),1378058.0,14,2019
7.0,Thiago Galhardo (CEA),1326705.0,14,2019
8.0,Rafinha (FLA),1117284.0,14,2019
9.0,Marcos Rocha (PAL),1092883.0,14,2019
10.0,Víctor Cuesta (INT),999420.0,14,2019
11.0,Diogo Barbosa (PAL),934308.0,14,2019
12.0,Luan (PAL),866741.0,14,2019
13.0,Luiz Felipe Scolari (PAL),864431.0,14,2019
